6025: Datenmodell BAFU;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lage (Geometrie);X Koordinaten;Y Koordinaten;Höhe;Identifikator;Name;Grundwasserleiter_Typ;Quelltyp;Fassungsart;Nutzungszustand;Trinkwasser;Zweck;Notwasserversrogung;Öffentliches Interesse;Schüttung minimal;Schüttung mittel;Schüttung maximal
;2715980;1195110;1750;GL_918;Quelle Chameralp Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716320;1195950;1295;GL_902;Quelle Chameralp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717100;1195817;1177;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2720267;1196553;1667;;;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2721690;1195970;1430;GL_914;Quelle Mittel Durnachtal Stäfeli;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2714900;1197500;1900;GL_921;Quelle Ortstafel;Karst;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2715720;1197260;1580;GL_920;Oelle Ober Friteren;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716780;1198380;1740;GL916;Quelle Rieter Ortsstafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2717210;1198275;1500;GL_917;Quelle Rietberg Mittel Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2715249;1189100;1445;;;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2713570;1188030;2020;GL_834;Quelle Obersand;Karst;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2716240;1193700;1615;GL_912;Quelle Bäreboden;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2715608;1193900;1839;;Quelle Fisetenalp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink- und Tränkewasser;nein;ja;;;
;2720260;1195240;1830;GL_906;Alp Bächi Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718718;1195170;974;GL_899;Quelle Oberzaun;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2722040;1195340;1400;GL_913;Quelle Alp Hinter Durnachtal;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2715630;1188030;1620;GL_903;Quelle Hintersand;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2718480;1202500;1695;GL_661;Quelle Bösbächi Ober Stafel E;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch, Kühl- und Tränkewasser;nein;ja;;;
;2718130;1203200;1505;GL_659;Quelle Tierbrunnen;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2720050;1203480;1160;GL_878;Quelle Bösbächi Unter Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2724670;1199430;1867;GL_791;Alphütte Ängi;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2723680;1200425;1723;GL_793;Diestalstafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2724410;1197950;2015;GL_1054;Chüetal Alp;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
;2729340;1201640;1625;GL_321;Quelle Berglialp Ober Stafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;12;19;24
;2729970;1201660;1420;GL_319;Quelle Schluchenwald;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;24;26;30
;2730441;1202362;1603;GL_320;Quelle Rietboden;gemischt;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;18;22;25
;2733433;1203289;1381;;Sulzweid Unterstafel;gemischt;;gefasst.unbestimmt;genutzt;nein;Tränkewasser;nein;nein;5;6;8
;2733960;1204180;1845;GL_318;Quelle Vorderegg-Oberstafel;Lockergestein;;gefasst.unbestimmt;genutzt;ja;Trink-, Brauch und Tränkewasser;nein;ja;;;
